event_day,event_hour,topics,city,country
2017-04-08,04:00,Fitness,Taipei,tw
2017-04-08,04:00,Mountain Biking,Taipei,tw
2017-04-08,04:00,Sports and Recreation,Taipei,tw
2017-04-08,04:00,Outdoors,Taipei,tw
2017-04-08,04:00,Fun Times,Taipei,tw
2017-04-08,04:00,Winter and Summer Sports,Taipei,tw
2017-04-08,04:00,Adventure,Taipei,tw
2017-04-08,04:00,Water Sports,Taipei,tw
2017-04-08,04:00,Sports and Socials,Taipei,tw
2017-04-08,04:00,Hiking,Taipei,tw
2017-04-08,04:00,Exercise,Taipei,tw
2017-04-08,04:00,Recreational Sports,Taipei,tw
2017-03-25,13:00,Language & Culture,Taipei,tw
2017-03-25,13:00,Language Exchange,Taipei,tw
2017-03-25,13:00,Chinese Language,Taipei,tw
2017-03-24,23:00,Wine,Hackensack,us
2017-03-24,23:00,Hiking,Hackensack,us
2017-03-24,23:00,Dining Out,Hackensack,us
2017-03-24,23:00,Marketing,Hackensack,us
2017-03-24,23:00,New In Town,Hackensack,us
2017-03-24,23:00,Social Networking,Hackensack,us
2017-03-24,23:00,Women's Social,Hackensack,us
2017-03-24,23:00,Outdoors,Hackensack,us
2017-03-24,23:00,Professional Networking,Hackensack,us
2017-03-24,23:00,Adventure,Hackensack,us
2017-03-24,23:00,Singles 30's-50's,Hackensack,us
2017-03-24,23:00,Small Business Marketing Strategy,Hackensack,us
2017-03-24,23:00,Single Professionals,Hackensack,us
2017-03-24,23:00,Dating and Relationships,Hackensack,us
2017-03-24,23:00,Singles 40's - 50's,Hackensack,us
2017-03-19,14:45,Geek Culture,London,gb
2017-03-19,14:45,Console Gaming,London,gb
2017-03-19,14:45,Pokemon,London,gb
2017-03-19,14:45,Video Games,London,gb
2017-03-19,14:45,Nintendo,London,gb
2017-03-19,14:45,Outdoor  Fitness,London,gb
2017-03-19,14:45,Social,London,gb
2017-03-19,14:45,Adventure,London,gb
2017-03-19,14:45,Strategy Games,London,gb
2017-03-19,14:45,Gaming,London,gb
2017-03-19,14:45,Geeks & Nerds,London,gb
2017-03-19,14:45,Food and Drink,London,gb
2017-03-19,14:45,Walking,London,gb
2017-03-19,14:45,Pokemon Go,London,gb
2017-04-09,05:00,BBQ,Tokyo,jp
2017-04-09,05:00,English as a Second Language,Tokyo,jp
2017-04-09,05:00,Weight Loss,Tokyo,jp
2017-04-09,05:00,Fitness,Tokyo,jp
2017-04-09,05:00,Singles,Tokyo,jp
2017-04-09,05:00,Culture Exchange,Tokyo,jp
2017-04-09,05:00,New In Town,Tokyo,jp
2017-04-09,05:00,Language Exchange,Tokyo,jp
2017-04-09,05:00,Social Networking,Tokyo,jp
2017-04-09,05:00,Outdoors,Tokyo,jp
2017-04-09,05:00,Group Fitness Training,Tokyo,jp
2017-04-09,05:00,Picnics,Tokyo,jp
2017-04-09,05:00,Adventure,Tokyo,jp
2017-04-09,05:00,Kickboxing,Tokyo,jp
2017-04-09,05:00,Drinking,Tokyo,jp
2017-03-31,20:30,orchestra,London,gb
2017-03-31,20:30,Flute,London,gb
2017-03-31,20:30,Cello,London,gb
2017-03-31,20:30,Viola,London,gb
2017-03-31,20:30,French Horn,London,gb
2017-03-31,20:30,Soul Music,London,gb
2017-03-31,20:30,Percussion,London,gb
2017-03-31,20:30,Violin,London,gb
2017-03-31,20:30,Trombones,London,gb
2017-03-31,20:30,Saxophones,London,gb
2017-03-31,20:30,Trumpet Players,London,gb
2017-03-31,20:30,Rhythm and Blues R&B,London,gb
2017-03-31,20:30,String Players,London,gb
2017-03-31,20:30,horn players,London,gb
2017-03-31,20:30,Choir,London,gb
2017-03-24,23:00,Wine,Hackensack,us
2017-03-24,23:00,Hiking,Hackensack,us
2017-03-24,23:00,Dining Out,Hackensack,us
2017-03-24,23:00,Marketing,Hackensack,us
2017-03-24,23:00,New In Town,Hackensack,us
2017-03-24,23:00,Social Networking,Hackensack,us
2017-03-24,23:00,Women's Social,Hackensack,us
2017-03-24,23:00,Outdoors,Hackensack,us
2017-03-24,23:00,Professional Networking,Hackensack,us
2017-03-24,23:00,Adventure,Hackensack,us
2017-03-24,23:00,Singles 30's-50's,Hackensack,us
2017-03-24,23:00,Small Business Marketing Strategy,Hackensack,us
2017-03-24,23:00,Single Professionals,Hackensack,us
2017-03-24,23:00,Dating and Relationships,Hackensack,us
2017-03-24,23:00,Singles 40's - 50's,Hackensack,us
2017-03-21,22:00,Gay Singles,London,gb
2017-03-21,22:00,Gay Couples,London,gb
2017-03-21,22:00,Sexual Education,London,gb
2017-03-21,22:00,LGBT Social Group,London,gb
2017-03-21,22:00,Gay,London,gb
2017-03-21,22:00,LGBT,London,gb
2017-03-21,22:00,LGBT Support,London,gb
2017-03-21,22:00,Gay Professionals,London,gb
2017-03-21,22:00,Intimacy,London,gb
2017-03-21,22:00,Human Sexuality,London,gb
2017-03-21,22:00,Self awareness workshops,London,gb
2017-03-21,22:00,Gay Men,London,gb
2017-03-21,22:00,Sexuality Awareness,London,gb
2017-04-16,04:00,Fitness,Taipei,tw
2017-04-16,04:00,Mountain Biking,Taipei,tw
2017-04-16,04:00,Sports and Recreation,Taipei,tw
2017-04-16,04:00,Outdoors,Taipei,tw
2017-04-16,04:00,Fun Times,Taipei,tw
2017-04-16,04:00,Winter and Summer Sports,Taipei,tw
2017-04-16,04:00,Adventure,Taipei,tw
2017-04-16,04:00,Water Sports,Taipei,tw
2017-04-16,04:00,Sports and Socials,Taipei,tw
2017-04-16,04:00,Hiking,Taipei,tw
2017-04-16,04:00,Exercise,Taipei,tw
2017-04-16,04:00,Recreational Sports,Taipei,tw
2017-03-20,00:00,Raw Food,Annandale,us
2017-03-20,00:00,Support,Annandale,us
2017-03-20,00:00,Whole Food Nutrition,Annandale,us
2017-03-20,00:00,Wellness,Annandale,us
2017-03-20,00:00,Alternative Medicine,Annandale,us
2017-03-20,00:00,Healthy Living,Annandale,us
2017-03-20,00:00,Exercise,Annandale,us
2017-03-20,00:00,Self-Improvement,Annandale,us
2017-03-20,00:00,Weight Loss,Annandale,us
2017-03-20,00:00,Holistic Health,Annandale,us
2017-03-20,00:00,Nutrition,Annandale,us
2017-03-20,00:00,Healthy Eating,Annandale,us
2017-03-20,00:00,Eat to Live,Annandale,us
2017-03-20,00:00,Vegan,Annandale,us
2017-03-20,00:00,Vegetarian,Annandale,us
2017-03-20,19:30,Open Source,München,de
2017-03-20,19:30,Linux,München,de
2017-03-20,19:30,Software Development,München,de
2017-03-20,19:30,Configuration Management,München,de
2017-03-20,19:30,DevOps,München,de
2017-03-20,19:30,System Administration,München,de
2017-03-20,19:30,Infrastructure as Code,München,de
2017-03-20,19:30,Puppet (software),München,de
2017-03-20,19:30,Continuous Delivery,München,de
2017-03-20,19:30,Opscode Chef,München,de
2017-03-20,19:30,Cfengine,München,de
2017-03-20,19:30,Ansible,München,de
2017-03-20,19:30,Continuous Deployment,München,de
2017-03-20,19:30,Unix,München,de
2017-03-24,02:00,Wine,Charleston,us
2017-03-24,02:00,Walking,Charleston,us
2017-03-24,02:00,Book Club,Charleston,us
2017-03-24,02:00,Women's Social,Charleston,us
2017-03-24,02:00,Beach,Charleston,us
2017-03-24,02:00,Girlfriends,Charleston,us
2017-03-24,02:00,Literature,Charleston,us
2017-03-24,02:00,Girls' Night Out,Charleston,us
2017-03-24,02:00,Happy Hour,Charleston,us
2017-03-24,02:00,Brunch,Charleston,us
2017-03-24,02:00,Dinner Parties,Charleston,us
2017-03-24,02:00,Weekend Getaways,Charleston,us
2017-03-24,02:00,spa party,Charleston,us
2017-03-24,02:00,Paddle Boarding,Charleston,us
2017-03-24,02:00,Arts n Crafts,Charleston,us
2017-04-12,20:30,New In Town,London,gb
2017-04-12,20:30,20's & 30's Social,London,gb
2017-04-12,20:30,Social Networking,London,gb
2017-04-12,20:30,Adventure,London,gb
2017-04-12,20:30,Meeting New and Exciting People,London,gb
2017-04-12,20:30,Young Professionals,London,gb
2017-04-12,20:30,Nightlife,London,gb
2017-04-12,20:30,Local Activities,London,gb
2017-04-12,20:30,"Eating, Drinking, Talking, Laughing, Etc",London,gb
2017-04-12,20:30,exploring London,London,gb
2017-04-12,20:30,Social,London,gb
2017-04-12,20:30,Meeting New People that Share the Same Interest,London,gb
2017-04-12,20:30,London,London,gb
2017-04-12,20:30,Dancing,London,gb
2017-04-12,20:30,Fun Times,London,gb
2017-03-20,20:00,Open Data,Frankfurt,de
2017-03-20,20:00,Civic Hacking,Frankfurt,de
2017-03-20,20:00,Civic Engagement & Technology,Frankfurt,de
2017-03-20,20:00,Open Government,Frankfurt,de
2017-03-20,20:00,Data Visualization,Frankfurt,de
2017-03-20,20:00,Data Analytics,Frankfurt,de
2017-03-20,20:00,Data Science,Frankfurt,de
2017-03-20,20:00,Data Journalism,Frankfurt,de
2017-03-20,20:00,Big Data,Frankfurt,de
2017-03-20,20:00,Software Development,Frankfurt,de
2017-03-20,20:00,Mobile Development,Frankfurt,de
2017-03-20,20:00,Web Development,Frankfurt,de
2017-03-20,20:00,Hacking,Frankfurt,de
2017-03-20,20:00,Computer programming,Frankfurt,de
2017-04-23,04:00,Fitness,Taipei,tw
2017-04-23,04:00,Mountain Biking,Taipei,tw
2017-04-23,04:00,Sports and Recreation,Taipei,tw
2017-04-23,04:00,Outdoors,Taipei,tw
2017-04-23,04:00,Fun Times,Taipei,tw
2017-04-23,04:00,Winter and Summer Sports,Taipei,tw
2017-04-23,04:00,Adventure,Taipei,tw
2017-04-23,04:00,Water Sports,Taipei,tw
2017-04-23,04:00,Sports and Socials,Taipei,tw
2017-04-23,04:00,Hiking,Taipei,tw
2017-04-23,04:00,Exercise,Taipei,tw
2017-04-23,04:00,Recreational Sports,Taipei,tw
2017-04-02,06:00,Social,Brisbane,au
2017-04-02,06:00,Social Networking,Brisbane,au
2017-04-02,06:00,Singles,Brisbane,au
2017-04-02,06:00,Music,Brisbane,au
2017-04-02,06:00,Live Music,Brisbane,au
2017-04-02,06:00,Local Bands,Brisbane,au
